channel_name,category,Sub-category,Agent Shift,Tenure Bucket
Inbound,Returns,Reverse Pickup Enquiry,Morning,61-90
Outcall,Order Related,Installation/demo,Evening,31-60
Inbound,Order Related,Installation/demo,Morning,0-30
Inbound,Order Related,Delayed,Morning,On Job Training
Outcall,Returns,Fraudulent User,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Returns,Service Centres Related,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Order Related,Order status enquiry,Morning,0-30
Inbound,Order Related,Customer Requested Modifications,Morning,On Job Training
Outcall,Payments related,Payment related Queries,Morning,31-60
Inbound,Product Queries,Warranty related,Afternoon,>90
Outcall,Returns,Return request,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Outcall,Returns,Return request,Evening,61-90
Outcall,Order Related,Invoice request,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Returns,Service Centres Related,Morning,On Job Training
Inbound,Order Related,Order status enquiry,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Returns,Return request,Morning,0-30
Inbound,Payments related,Online Payment Issues,Evening,61-90
Inbound,Order Related,Installation/demo,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Refund Related,Refund Enquiry,Morning,On Job Training
Inbound,Order Related,Installation/demo,Morning,0-30
Inbound,Returns,Return request,Morning,>90
Inbound,Order Related,Delayed,Morning,>90
Inbound,Feedback,UnProfessional Behaviour,Morning,0-30
Inbound,Order Related,Order status enquiry,Morning,>90
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Feedback,UnProfessional Behaviour,Split,>90
Inbound,Shopzilla Related,General Enquiry,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Order Related,Delayed,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Returns,Fraudulent User,Split,>90
Inbound,Order Related,Delayed,Evening,>90
Email,Cancellation,Not Needed,Afternoon,>90
Outcall,Product Queries,Product Specific Information,Afternoon,>90
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Returns,Wrong,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Outcall,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Order Related,Seller Cancelled Order,Evening,On Job Training
Inbound,Order Related,Delayed,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Returns,Missing,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Others,Call back request,Morning,0-30
Inbound,Order Related,Delayed,Evening,31-60
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Returns,Wrong,Morning,On Job Training
Inbound,Order Related,Priority delivery,Morning,On Job Training
Inbound,Returns,Wrong,Evening,On Job Training
Inbound,Order Related,Unable to track,Evening,On Job Training
Outcall,Shopzilla Related,General Enquiry,Morning,On Job Training
Inbound,Order Related,Delayed,Afternoon,>90
Inbound,Order Related,Invoice request,Morning,0-30
Inbound,Refund Related,Refund Enquiry,Afternoon,31-60
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Order Related,Installation/demo,Morning,0-30
Inbound,Order Related,Delayed,Evening,On Job Training
Inbound,Order Related,Invoice request,Afternoon,>90
Outcall,Returns,Missing,Morning,31-60
Outcall,Returns,Fraudulent User,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Order Related,Installation/demo,Evening,31-60
Inbound,Returns,Wrong,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Order Related,Customer Requested Modifications,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Payments related,Payment related Queries,Morning,On Job Training
Inbound,Order Related,Seller Cancelled Order,Evening,31-60
Inbound,Cancellation,Not Needed,Evening,61-90
Outcall,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Returns,Return request,Morning,On Job Training
Inbound,Returns,Return request,Evening,On Job Training
Inbound,Returns,Missing,Evening,>90
Inbound,Returns,Wrong,Morning,>90
Inbound,Returns,Return request,Evening,0-30
Inbound,Order Related,Unable to track,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Night,31-60
Inbound,Feedback,UnProfessional Behaviour,Evening,31-60
Inbound,Returns,Missing,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Order Related,Installation/demo,Morning,On Job Training
Inbound,Order Related,Delayed,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Order Related,Installation/demo,Morning,31-60
Email,Returns,Reverse Pickup Enquiry,Afternoon,0-30
Email,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Order Related,Delayed,Morning,On Job Training
Inbound,Returns,Return request,Morning,>90
Inbound,Returns,Return request,Morning,>90
Inbound,Product Queries,Product Specific Information,Morning,0-30
Outcall,Product Queries,Product Specific Information,Evening,On Job Training
Inbound,Feedback,UnProfessional Behaviour,Evening,31-60
Inbound,Returns,Damaged,Evening,31-60
Inbound,Order Related,Customer Requested Modifications,Morning,On Job Training
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Payments related,Online Payment Issues,Morning,>90
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Order Related,Delayed,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Refund Related,Refund Enquiry,Night,31-60
Inbound,Returns,Return request,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Fraudulent User,Morning,0-30
Inbound,Order Related,Installation/demo,Morning,0-30
Inbound,Returns,Fraudulent User,Morning,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Product Queries,Product Specific Information,Morning,>90
Inbound,Returns,Return request,Evening,>90
Email,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Order Related,Invoice request,Evening,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Returns,Wrong,Evening,On Job Training
Inbound,Returns,Return request,Afternoon,>90
Inbound,Returns,Return request,Morning,0-30
Inbound,Order Related,Delayed,Evening,31-60
Outcall,Returns,Return request,Morning,0-30
Inbound,Order Related,Installation/demo,Morning,>90
Inbound,Order Related,Installation/demo,Evening,31-60
Inbound,Returns,Return request,Morning,0-30
Outcall,Returns,Wrong,Morning,0-30
Inbound,Returns,Service Centres Related,Morning,0-30
Email,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Returns,Fraudulent User,Morning,0-30
Inbound,Product Queries,Product Specific Information,Evening,On Job Training
Outcall,Order Related,Delayed,Evening,31-60
Inbound,Shopzilla Related,Signup Issues,Split,>90
Outcall,Shopzilla Related,General Enquiry,Morning,On Job Training
Inbound,Order Related,Delayed,Evening,On Job Training
Inbound,Returns,Product related Issues,Morning,31-60
Outcall,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Returns,Service Center - Service Denial,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Feedback,UnProfessional Behaviour,Morning,31-60
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Service Centres Related,Split,>90
Email,Returns,Wrong,Night,31-60
Inbound,Order Related,Delayed,Morning,>90
Inbound,Order Related,Order status enquiry,Afternoon,31-60
Outcall,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Returns,Return request,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Returns,Service Centres Related,Evening,>90
Inbound,Product Queries,Product Specific Information,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Service Centres Related,Morning,>90
Inbound,Payments related,Online Payment Issues,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Returns,Damaged,Evening,31-60
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Returns,Return request,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Exchange / Replacement,Morning,>90
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Email,Order Related,Delayed,Morning,0-30
Inbound,Returns,Wrong,Morning,31-60
Inbound,Feedback,UnProfessional Behaviour,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Returns,Fraudulent User,Evening,61-90
Inbound,Order Related,Installation/demo,Evening,0-30
Inbound,Returns,Fraudulent User,Split,>90
Outcall,Order Related,Installation/demo,Evening,On Job Training
Outcall,Payments related,Online Payment Issues,Morning,>90
Outcall,Returns,Wrong,Evening,0-30
Inbound,Returns,Missing,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Order Related,Delayed,Morning,>90
Outcall,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Service Centres Related,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Order Related,Installation/demo,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Product Queries,Product Specific Information,Morning,>90
Inbound,Returns,Return request,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Outcall,Returns,Return request,Afternoon,61-90
Outcall,Order Related,Priority delivery,Morning,On Job Training
Inbound,Order Related,Invoice request,Evening,0-30
Inbound,Order Related,Order status enquiry,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Inbound,Shopzilla Related,General Enquiry,Morning,On Job Training
Inbound,Cancellation,Not Needed,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Email,Returns,Fraudulent User,Split,>90
Outcall,Order Related,Installation/demo,Morning,0-30
Inbound,Order Related,Installation/demo,Morning,31-60
Inbound,Cancellation,Not Needed,Evening,61-90
Inbound,Product Queries,Product Specific Information,Evening,On Job Training
Inbound,Shopzilla Related,General Enquiry,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Outcall,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Order Related,Delayed,Morning,61-90
Inbound,Returns,Return request,Morning,31-60
Inbound,Refund Related,Refund Related Issues,Afternoon,>90
Inbound,Returns,Fraudulent User,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Outcall,Feedback,UnProfessional Behaviour,Morning,>90
Inbound,Product Queries,Product Specific Information,Split,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Order Related,Installation/demo,Afternoon,>90
Inbound,Payments related,Wallet related,Morning,31-60
Outcall,Returns,Missing,Evening,>90
Inbound,Refund Related,Refund Related Issues,Morning,0-30
Outcall,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Cancellation,Not Needed,Morning,0-30
Inbound,Returns,Fraudulent User,Morning,>90
Outcall,Returns,Wrong,Morning,31-60
Outcall,Order Related,Delayed,Morning,>90
Outcall,Order Related,Installation/demo,Evening,>90
Email,Order Related,Delayed,Afternoon,>90
Inbound,Order Related,Installation/demo,Morning,On Job Training
Outcall,Returns,Service Centres Related,Evening,On Job Training
Inbound,Refund Related,Refund Related Issues,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Returns,Fraudulent User,Morning,On Job Training
Inbound,Shopzilla Related,Other Account Related Issues,Afternoon,>90
Inbound,Shopzilla Related,General Enquiry,Morning,On Job Training
Inbound,Order Related,Order status enquiry,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Feedback,UnProfessional Behaviour,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Payments related,Online Payment Issues,Morning,On Job Training
Inbound,Returns,Fraudulent User,Evening,>90
Inbound,Order Related,Delayed,Evening,31-60
Inbound,Shopzilla Related,General Enquiry,Morning,>90
Outcall,Order Related,Order status enquiry,Morning,>90
Inbound,Order Related,Installation/demo,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Return request,Morning,>90
Inbound,Product Queries,Product Specific Information,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Order Related,Order status enquiry,Evening,61-90
Inbound,Returns,Missing,Morning,>90
Outcall,Shopzilla Related,Shopzila Premium Related,Evening,On Job Training
Inbound,Returns,Return request,Morning,>90
Inbound,Order Related,Delayed,Morning,>90
Inbound,Order Related,Delayed,Afternoon,31-60
Inbound,Returns,Return request,Afternoon,>90
Outcall,Returns,Return request,Evening,On Job Training
Inbound,Order Related,Delayed,Morning,On Job Training
Inbound,Returns,Wrong,Evening,>90
Inbound,Returns,Fraudulent User,Evening,31-60
Inbound,Order Related,Order Verification,Evening,On Job Training
Outcall,Returns,Wrong,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Order Related,Order status enquiry,Morning,>90
Inbound,Order Related,Delayed,Morning,61-90
Inbound,Order Related,Delayed,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Inbound,Returns,Wrong,Evening,61-90
Outcall,Shopzilla Related,General Enquiry,Afternoon,61-90
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,31-60
Inbound,Returns,Fraudulent User,Evening,61-90
Inbound,Product Queries,Product Specific Information,Evening,On Job Training
Inbound,Returns,Service Centres Related,Evening,>90
Inbound,Payments related,Payment related Queries,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Exchange / Replacement,Morning,>90
Inbound,Returns,Fraudulent User,Evening,61-90
Inbound,Returns,Missing,Evening,On Job Training
Inbound,Returns,Service Centres Related,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Fraudulent User,Morning,0-30
Inbound,Payments related,Payment related Queries,Morning,>90
Outcall,Payments related,Online Payment Issues,Morning,On Job Training
Inbound,Returns,Missing,Split,>90
Inbound,Product Queries,Product Specific Information,Morning,On Job Training
Inbound,Returns,Fraudulent User,Morning,0-30
Inbound,Returns,Fraudulent User,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Returns,Exchange / Replacement,Evening,On Job Training
Inbound,Returns,Fraudulent User,Evening,On Job Training
Email,Refund Related,Refund Related Issues,Morning,On Job Training
Outcall,Returns,Return request,Morning,0-30
Inbound,Returns,Exchange / Replacement,Evening,>90
Inbound,Order Related,Installation/demo,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Outcall,Refund Related,Refund Related Issues,Afternoon,>90
Inbound,Order Related,Installation/demo,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Night,>90
Inbound,Order Related,Priority delivery,Afternoon,>90
Inbound,Order Related,Installation/demo,Morning,On Job Training
Inbound,Returns,Fraudulent User,Evening,>90
Inbound,Order Related,Delayed,Morning,0-30
Inbound,Order Related,Seller Cancelled Order,Evening,>90
Outcall,Returns,Product related Issues,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Outcall,Product Queries,Product Specific Information,Evening,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Feedback,UnProfessional Behaviour,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Order Related,Delayed,Morning,>90
Inbound,Order Related,Delayed,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Shopzilla Related,General Enquiry,Morning,On Job Training
Inbound,Payments related,Online Payment Issues,Morning,>90
Outcall,Order Related,Delayed,Evening,>90
Outcall,Order Related,Order status enquiry,Morning,>90
Inbound,Order Related,Delayed,Evening,31-60
Outcall,Order Related,Installation/demo,Evening,On Job Training
Outcall,Returns,Return request,Evening,On Job Training
Outcall,Feedback,UnProfessional Behaviour,Morning,>90
Inbound,Returns,Exchange / Replacement,Afternoon,>90
Inbound,Shopzilla Related,General Enquiry,Morning,>90
Outcall,Returns,Return request,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Refund Related,Refund Related Issues,Morning,31-60
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Outcall,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Exchange / Replacement,Evening,31-60
Inbound,Order Related,Priority delivery,Evening,0-30
Inbound,Order Related,Invoice request,Morning,0-30
Inbound,Feedback,UnProfessional Behaviour,Morning,>90
Inbound,Returns,Service Centres Related,Morning,0-30
Inbound,Shopzilla Related,General Enquiry,Evening,On Job Training
Inbound,Returns,Missing,Morning,0-30
Outcall,Returns,Fraudulent User,Evening,On Job Training
Inbound,Product Queries,Product Specific Information,Evening,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Exchange / Replacement,Morning,>90
Inbound,Returns,Fraudulent User,Afternoon,31-60
Outcall,Returns,Return request,Evening,On Job Training
Inbound,Order Related,Installation/demo,Evening,On Job Training
Inbound,Order Related,Delayed,Morning,On Job Training
Inbound,Returns,Fraudulent User,Afternoon,>90
Inbound,Order Related,Delayed,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Feedback,UnProfessional Behaviour,Evening,0-30
Inbound,Returns,Exchange / Replacement,Evening,61-90
Inbound,Order Related,Unable to track,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Payments related,Online Payment Issues,Evening,On Job Training
Inbound,Returns,Technician Visit,Split,>90
Inbound,Shopzilla Related,General Enquiry,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Wrong,Morning,>90
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Email,Order Related,Delayed,Evening,0-30
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Missing,Morning,>90
Inbound,Order Related,Order status enquiry,Afternoon,>90
Inbound,Order Related,Delayed,Evening,31-60
Outcall,Returns,Missing,Evening,On Job Training
Inbound,Returns,Return request,Evening,On Job Training
Outcall,Cancellation,Not Needed,Evening,61-90
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Return request,Morning,>90
Inbound,Refund Related,Refund Related Issues,Morning,>90
Inbound,Order Related,Delayed,Morning,>90
Inbound,Order Related,Seller Cancelled Order,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Returns,Missing,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Order Related,Installation/demo,Evening,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Offers & Cashback,Other Cashback,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Order Related,Installation/demo,Evening,61-90
Inbound,Feedback,UnProfessional Behaviour,Evening,>90
Outcall,Order Related,Delayed,Morning,On Job Training
Inbound,Order Related,Order status enquiry,Evening,61-90
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Order Related,Invoice request,Evening,>90
Inbound,Order Related,Installation/demo,Morning,>90
Inbound,Order Related,Delayed,Evening,31-60
